date,product,region,channel,revenue,units,cost,profit
2023-01-01,Enterprise Suite,North,Online,36.04,2,18.54,17.5
2023-01-01,Enterprise Suite,North,Offline,26.6,2,14.25,12.35
2023-01-01,Enterprise Suite,South,Online,30.9,1,11.84,19.06
2023-01-01,Enterprise Suite,South,Offline,16.52,1,8.7,7.82
2023-01-01,Enterprise Suite,East,Online,29.07,1,12.79,16.28
2023-01-01,Enterprise Suite,East,Offline,15.46,1,5.74,9.72
2023-01-01,Enterprise Suite,West,Online,36.75,2,18.24,18.51
2023-01-01,Enterprise Suite,West,Offline,19.08,1,9.94,9.14
2023-01-01,Growth Pack,North,Online,23.16,2,10.28,12.88
2023-01-01,Growth Pack,North,Offline,17.78,1,8.59,9.19
2023-01-01,Growth Pack,South,Online,30.27,1,12.67,17.6
2023-01-01,Growth Pack,South,Offline,10.98,1,4.33,6.65
2023-01-01,Growth Pack,East,Online,20.12,1,8.06,12.06
2023-01-01,Growth Pack,East,Offline,16.1,1,8.21,7.89
2023-01-01,Growth Pack,West,Online,19.06,1,9.72,9.34
2023-01-01,Growth Pack,West,Offline,16.5,1,6.8,9.7
2023-01-01,Starter Plan,North,Online,19.65,1,7.78,11.87
2023-01-01,Starter Plan,North,Offline,10.88,1,5.22,5.66
2023-01-01,Starter Plan,South,Online,8.28,1,3.66,4.62
2023-01-01,Starter Plan,South,Offline,6.7,1,2.55,4.15
2023-01-01,Starter Plan,East,Online,9.91,1,4.58,5.33
2023-01-01,Starter Plan,East,Offline,7.43,1,3.42,4.01
2023-01-01,Starter Plan,West,Online,18.28,1,6.68,11.6
2023-01-01,Starter Plan,West,Offline,8.27,1,3.59,4.68
2023-01-01,Add-ons,North,Online,6.09,1,2.26,3.83
2023-01-01,Add-ons,North,Offline,9.33,1,4.47,4.86
2023-01-01,Add-ons,South,Online,8.06,1,3.87,4.19
2023-01-01,Add-ons,South,Offline,5.17,1,2.02,3.15
2023-01-01,Add-ons,East,Online,7.81,1,3.83,3.98
2023-01-01,Add-ons,East,Offline,8.02,1,3.61,4.41
2023-01-01,Add-ons,West,Online,12.61,1,5.55,7.06
2023-01-01,Add-ons,West,Offline,6.61,1,3.13,3.48
2023-01-02,Enterprise Suite,North,Online,36.16,3,13.79,22.37
2023-01-02,Enterprise Suite,North,Offline,24.16,1,11.74,12.42
2023-01-02,Enterprise Suite,South,Online,35.98,2,18.0,17.98
2023-01-02,Enterprise Suite,South,Offline,27.58,2,11.28,16.3
2023-01-02,Enterprise Suite,East,Online,31.71,1,14.02,17.69
2023-01-02,Enterprise Suite,East,Offline,16.34,1,7.59,8.75
2023-01-02,Enterprise Suite,West,Online,38.62,2,19.18,19.44
2023-01-02,Enterprise Suite,West,Offline,24.77,1,11.71,13.06
2023-01-02,Growth Pack,North,Online,37.17,2,13.95,23.22
2023-01-02,Growth Pack,North,Offline,20.86,2,9.36,11.5
2023-01-02,Growth Pack,South,Online,30.16,2,11.42,18.74
2023-01-02,Growth Pack,South,Offline,12.77,1,6.72,6.05
2023-01-02,Growth Pack,East,Online,23.82,1,11.11,12.71
2023-01-02,Growth Pack,East,Offline,15.76,1,7.04,8.72
2023-01-02,Growth Pack,West,Online,30.57,2,13.68,16.89
2023-01-02,Growth Pack,West,Offline,30.99,1,14.35,16.64
2023-01-02,Starter Plan,North,Online,11.34,1,4.76,6.58
2023-01-02,Starter Plan,North,Offline,11.41,1,4.15,7.26
2023-01-02,Starter Plan,South,Online,21.72,1,8.37,13.35
2023-01-02,Starter Plan,South,Offline,7.24,1,3.48,3.76
2023-01-02,Starter Plan,East,Online,16.29,1,8.12,8.17
2023-01-02,Starter Plan,East,Offline,14.8,1,5.94,8.86
2023-01-02,Starter Plan,West,Online,15.15,1,6.47,8.68
2023-01-02,Starter Plan,West,Offline,9.18,1,3.83,5.35
2023-01-02,Add-ons,North,Online,17.58,1,7.96,9.62
2023-01-02,Add-ons,North,Offline,8.9,1,3.47,5.43
2023-01-02,Add-ons,South,Online,10.22,1,5.5,4.72
2023-01-02,Add-ons,South,Offline,8.61,1,4.48,4.13
2023-01-02,Add-ons,East,Online,10.95,1,4.56,6.39
2023-01-02,Add-ons,East,Offline,8.38,1,3.58,4.8
2023-01-02,Add-ons,West,Online,14.92,1,6.08,8.84
2023-01-02,Add-ons,West,Offline,5.0,1,1.91,3.09
2023-01-03,Enterprise Suite,North,Online,72.53,6,28.45,44.08
2023-01-03,Enterprise Suite,North,Offline,48.93,2,19.34,29.59
2023-01-03,Enterprise Suite,South,Online,53.51,3,28.62,24.89
2023-01-03,Enterprise Suite,South,Offline,37.48,3,13.59,23.89
2023-01-03,Enterprise Suite,East,Online,59.93,5,28.88,31.05
